City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,karratha,-20.7377,116.8463,304.73,17,1,10.13,AU,1697153424
337,beroroha,-21.6667,45.1667,297.46,62,8,0.91,MG,1697153424
338,queenstown,-31.8976,26.8753,283.21,79,0,1.59,ZA,1697153425
339,kalmunai,7.4167,81.8167,297.55,93,100,1.82,LK,1697153426
340,lere,10.387,8.5726,294.84,77,92,1.7,NG,1697153426
341,happy valley-goose bay,53.3168,-60.3315,282.32,93,75,2.57,CA,1697153427
342,sirte,31.2089,16.5887,296.31,69,0,1.64,LY,1697153428
343,coquimbo,-29.9533,-71.3436,289.0,77,0,4.63,CL,1697153428
344,inirida,3.8653,-67.9239,299.98,79,82,0.95,CO,1697153429
345,istgah-e rah ahan-e garmsar,35.2346,52.3094,290.07,59,18,3.37,IR,1697153430
346,suva,-18.1416,178.4415,298.86,69,75,5.14,FJ,1697153430
347,margate,51.3813,1.3862,289.99,94,100,1.79,GB,1697153431
348,santiago de cao,-7.9589,-79.2392,292.22,82,40,4.63,PE,1697153432
349,maun,-19.9833,23.4167,297.32,41,56,0.67,BW,1697153432
350,oliver,49.1831,-119.5524,291.1,48,8,1.03,CA,1697153433
351,mangalia,43.8,28.5833,288.41,79,0,4.7,RO,1697153433
352,puerto rosario,-24.45,-57.0833,289.77,68,100,4.17,PY,1697153434
353,whangarei,-35.7317,174.3239,291.22,52,38,1.91,NZ,1697153435
354,eket,4.6412,7.9209,297.75,91,100,2.32,NG,1697153436
355,akbarabad,29.2464,52.7793,288.94,43,1,1.93,IR,1697153436
356,praya,14.9215,-23.5087,300.45,78,20,1.03,CV,1697153437
357,george town,5.4112,100.3354,300.11,87,20,1.03,MY,1697153394
358,trincomalee,8.5711,81.2335,298.61,87,100,3.36,LK,1697153439
359,nantucket,41.2835,-70.0995,291.18,94,0,3.09,US,1697153361
360,princeville,45.7668,-61.2985,285.81,94,17,2.06,CA,1697153440
361,pariaman,-0.619,100.12,296.18,91,89,1.11,ID,1697153281
362,nema,57.5067,50.5011,280.66,93,100,6.24,RU,1697153441
363,arteche,12.2645,125.4048,300.98,80,48,1.19,PH,1697153442
364,akrehamn,59.2667,5.1833,283.94,81,100,7.2,NO,1697153443
365,karlskrona,56.1616,15.5866,280.4,82,39,4.9,SE,1697153443
366,hameenlinna,60.996,24.4643,279.15,85,39,5.44,FI,1697153444
367,chonchi,-42.6128,-73.8092,282.71,84,84,0.89,CL,1697153445
368,port shepstone,-30.7414,30.455,291.56,77,60,5.8,ZA,1697153445
369,rawson,-43.3002,-65.1023,282.02,62,6,4.31,AR,1697153446
370,ormara,25.2088,64.6357,299.88,84,14,2.62,PK,1697153447
371,onega,63.9061,38.1404,276.9,82,100,6.71,RU,1697153447
372,kingscliff,-28.2667,153.5667,300.22,44,0,5.66,AU,1697153448
373,iskateley,67.6803,53.1512,274.27,76,100,4.02,RU,1697153448
374,filipstad,59.7124,14.1683,276.82,76,32,1.91,SE,1697153449
375,mao,39.8885,4.2658,294.46,100,0,1.54,ES,1697153450
376,kendari,-3.945,122.4989,301.34,67,55,1.14,ID,1697153450
377,paradip garh,20.3167,86.6167,299.26,80,27,1.55,IN,1697153451
378,tazovsky,67.4667,78.7,273.52,96,100,1.9,RU,1697153452
379,durgapur,23.4833,87.3167,296.35,78,0,1.14,IN,1697153452
380,lycksele,64.5954,18.6735,272.28,100,40,0.0,SE,1697153453
381,san luis de la loma,17.2706,-100.8939,300.31,86,40,0.72,MX,1697153454
382,vernon,50.2581,-119.2691,291.65,52,8,1.54,CA,1697153262
383,xoxocotla,18.6833,-99.25,300.86,57,75,0.0,MX,1697153455
384,ketchikan,55.3422,-131.6461,287.14,82,100,7.2,US,1697153455
385,walvis bay,-22.9575,14.5053,284.68,93,0,1.03,NA,1697153456
386,mahibadhoo,3.7833,72.9667,301.04,72,52,5.42,MV,1697153457
387,kirkwall,58.9848,-2.9587,283.18,76,75,9.26,GB,1697153457
388,sarmiento,-45.5882,-69.07,284.49,45,1,1.43,AR,1697153458
389,hotan,37.0997,79.9269,287.26,25,0,1.58,CN,1697153459
390,waingapu,-9.6567,120.2641,301.26,67,82,4.73,ID,1697153459
391,roscommon,53.6333,-8.1833,281.55,87,100,1.22,IE,1697153460
392,tsiombe,-25.3,45.4833,294.04,84,54,5.71,MG,1697153461
393,xingcheng,40.6167,120.7167,289.89,68,100,5.36,CN,1697153461
394,kotri,25.366,68.3122,298.78,81,0,5.53,PK,1697153463
395,calama,-22.4667,-68.9333,296.42,10,0,6.69,CL,1697153464
396,ipswich,52.0592,1.1555,289.29,92,100,4.12,GB,1697153369
397,yanchep,-31.55,115.6833,291.45,44,0,6.39,AU,1697153465
398,ke-macina,13.9623,-5.3572,302.69,46,39,4.63,ML,1697153466
399,mount isa,-20.7333,139.5,303.02,20,49,5.66,AU,1697153466
